Approach,Total_Time_s,Avg_Time_ms,Sequence1_Size,Sequence2_Size,Time_ms
SumCommon,0.9737085999950068,9.737085999950068,67,97,23.365699998976197
SumCommon,0.9737085999950068,9.737085999950068,77,7,1.9746500001929235
SumCommon,0.9737085999950068,9.737085999950068,77,17,4.741649998322828
SumCommon,0.9737085999950068,9.737085999950068,77,27,7.488600000215229
SumCommon,0.9737085999950068,9.737085999950068,77,37,10.379900000771158
SumCommon,0.9737085999950068,9.737085999950068,77,47,13.130549999914365
SumCommon,0.9737085999950068,9.737085999950068,77,57,16.37750000008964
SumCommon,0.9737085999950068,9.737085999950068,77,67,18.874450001021614
SumCommon,0.9737085999950068,9.737085999950068,77,77,21.517299999686657
SumCommon,0.9737085999950068,9.737085999950068,77,87,24.13345000059053
SumCommon,0.9737085999950068,9.737085999950068,77,97,26.986400000168942
SumCommon,0.9737085999950068,9.737085999950068,87,7,2.2693000009894604
SumCommon,0.9737085999950068,9.737085999950068,87,17,5.470749998494284
SumCommon,0.9737085999950068,9.737085999950068,87,27,8.623399999123649
SumCommon,0.9737085999950068,9.737085999950068,87,37,11.59910000023956
SumCommon,0.9737085999950068,9.737085999950068,87,47,15.354849998402642
SumCommon,0.9737085999950068,9.737085999950068,87,57,18.772549999994226
SumCommon,0.9737085999950068,9.737085999950068,87,67,20.655600001191488
SumCommon,0.9737085999950068,9.737085999950068,87,77,24.087800000415882
SumCommon,0.9737085999950068,9.737085999950068,87,87,27.308749999065185
SumCommon,0.9737085999950068,9.737085999950068,87,97,30.03685000112455
SumCommon,0.9737085999950068,9.737085999950068,97,7,2.4783999997453066
SumCommon,0.9737085999950068,9.737085999950068,97,17,5.976749998808373
SumCommon,0.9737085999950068,9.737085999950068,97,27,9.566400000039721
SumCommon,0.9737085999950068,9.737085999950068,97,37,12.945299999046256
SumCommon,0.9737085999950068,9.737085999950068,97,47,16.573900000366848
SumCommon,0.9737085999950068,9.737085999950068,97,57,19.973150001533213
SumCommon,0.9737085999950068,9.737085999950068,97,67,23.076299999956973
SumCommon,0.9737085999950068,9.737085999950068,97,77,26.54514999994717
SumCommon,0.9737085999950068,9.737085999950068,97,87,29.804949999743258
SumCommon,0.9737085999950068,9.737085999950068,97,97,34.09855000245443
Tversky,0.9923551500141912,9.923551500141912,7,7,0.17685000057099387
Tversky,0.9923551500141912,9.923551500141912,7,17,0.43214999823248945
Tversky,0.9923551500141912,9.923551500141912,7,27,0.6773999994038604
Tversky,0.9923551500141912,9.923551500141912,7,37,0.940850000915816
Tversky,0.9923551500141912,9.923551500141912,7,47,1.1912499994650716
Tversky,0.9923551500141912,9.923551500141912,7,57,1.4311000013549346
Tversky,0.9923551500141912,9.923551500141912,7,67,1.7243000002054032
Tversky,0.9923551500141912,9.923551500141912,7,77,2.0388500015542377
Tversky,0.9923551500141912,9.923551500141912,7,87,2.371050000874675
Tversky,0.9923551500141912,9.923551500141912,7,97,2.470899999025278
Tversky,0.9923551500141912,9.923551500141912,17,7,0.42829999983950984
Tversky,0.9923551500141912,9.923551500141912,17,17,1.0453499999130145
Tversky,0.9923551500141912,9.923551500141912,17,27,1.6589000006206334
Tversky,0.9923551500141912,9.923551500141912,17,37,2.2695500010740943
Tversky,0.9923551500141912,9.923551500141912,17,47,2.894650000598631
Tversky,0.9923551500141912,9.923551500141912,17,57,3.515099999276572
Tversky,0.9923551500141912,9.923551500141912,17,67,4.135850000238861
Tversky,0.9923551500141912,9.923551500141912,17,77,4.726800001662923
Tversky,0.9923551500141912,9.923551500141912,17,87,5.450500000733882
Tversky,0.9923551500141912,9.923551500141912,17,97,6.215649998921435
Tversky,0.9923551500141912,9.923551500141912,27,7,0.713999999788939
Tversky,0.9923551500141912,9.923551500141912,27,17,1.6958500000328058
Tversky,0.9923551500141912,9.923551500141912,27,27,2.7092000000266125
Tversky,0.9923551500141912,9.923551500141912,27,37,3.674499999760883
Tversky,0.9923551500141912,9.923551500141912,27,47,4.5702999996137805
Tversky,0.9923551500141912,9.923551500141912,27,57,5.574799999521929
Tversky,0.9923551500141912,9.923551500141912,27,67,6.560999998328043
Tversky,0.9923551500141912,9.923551500141912,27,77,7.644299999810755
Tversky,0.9923551500141912,9.923551500141912,27,87,8.557200000723242
Tversky,0.9923551500141912,9.923551500141912,27,97,9.595100000296952
Tversky,0.9923551500141912,9.923551500141912,37,7,0.9503000001132023
Tversky,0.9923551500141912,9.923551500141912,37,17,2.28284999866446
Tversky,0.9923551500141912,9.923551500141912,37,27,3.6035999983141664
Tversky,0.9923551500141912,9.923551500141912,37,37,4.949450001731748
Tversky,0.9923551500141912,9.923551500141912,37,47,6.476100001236773
Tversky,0.9923551500141912,9.923551500141912,37,57,7.686049999392708
Tversky,0.9923551500141912,9.923551500141912,37,67,9.027350000906154
Tversky,0.9923551500141912,9.923551500141912,37,77,10.41705000170623
Tversky,0.9923551500141912,9.923551500141912,37,87,11.854399999720044
Tversky,0.9923551500141912,9.923551500141912,37,97,13.19359999979497
Tversky,0.9923551500141912,9.923551500141912,47,7,1.1886499996762723
Tversky,0.9923551500141912,9.923551500141912,47,17,2.9122500018274877
Tversky,0.9923551500141912,9.923551500141912,47,27,4.616350001015235
Tversky,0.9923551500141912,9.923551500141912,47,37,6.356500000038068
Tversky,0.9923551500141912,9.923551500141912,47,47,8.00745000015013
Tversky,0.9923551500141912,9.923551500141912,47,57,9.948049999366049
Tversky,0.9923551500141912,9.923551500141912,47,67,11.682849999488099
Tversky,0.9923551500141912,9.923551500141912,47,77,13.316149999809568
Tversky,0.9923551500141912,9.923551500141912,47,87,15.029199999844423
Tversky,0.9923551500141912,9.923551500141912,47,97,16.75874999818916
Tversky,0.9923551500141912,9.923551500141912,57,7,1.448549999622628
Tversky,0.9923551500141912,9.923551500141912,57,17,3.524900001139031
Tversky,0.9923551500141912,9.923551500141912,57,27,5.605650001598406
Tversky,0.9923551500141912,9.923551500141912,57,37,7.656099998712307
Tversky,0.9923551500141912,9.923551500141912,57,47,9.775399999853107
Tversky,0.9923551500141912,9.923551500141912,57,57,11.923400001251139
Tversky,0.9923551500141912,9.923551500141912,57,67,14.083049998589559
Tversky,0.9923551500141912,9.923551500141912,57,77,16.14655000048515
Tversky,0.9923551500141912,9.923551500141912,57,87,18.204550000518793
Tversky,0.9923551500141912,9.923551500141912,57,97,20.23920000101498
Tversky,0.9923551500141912,9.923551500141912,67,7,1.7177999998239102
Tversky,0.9923551500141912,9.923551500141912,67,17,4.130749999603722
Tversky,0.9923551500141912,9.923551500141912,67,27,6.568699998751981
Tversky,0.9923551500141912,9.923551500141912,67,37,9.099250000872416
Tversky,0.9923551500141912,9.923551500141912,67,47,11.5237000027264
Tversky,0.9923551500141912,9.923551500141912,67,57,14.08609999998589
Tversky,0.9923551500141912,9.923551500141912,67,67,16.479750000144122
Tversky,0.9923551500141912,9.923551500141912,67,77,18.916199998784577
Tversky,0.9923551500141912,9.923551500141912,67,87,21.917400001257192
Tversky,0.9923551500141912,9.923551500141912,67,97,23.867099998824415
Tversky,0.9923551500141912,9.923551500141912,77,7,2.0818499997403705
Tversky,0.9923551500141912,9.923551500141912,77,17,5.014750000555068
Tversky,0.9923551500141912,9.923551500141912,77,27,7.553100000222912
Tversky,0.9923551500141912,9.923551500141912,77,37,10.403950002000784
Tversky,0.9923551500141912,9.923551500141912,77,47,13.316500000655651
Tversky,0.9923551500141912,9.923551500141912,77,57,16.126499998790678
Tversky,0.9923551500141912,9.923551500141912,77,67,18.9299999983632
Tversky,0.9923551500141912,9.923551500141912,77,77,21.764200000689016
Tversky,0.9923551500141912,9.923551500141912,77,87,24.598100000730483
Tversky,0.9923551500141912,9.923551500141912,77,97,27.36220000042522
Tversky,0.9923551500141912,9.923551500141912,87,7,2.211650000390364
Tversky,0.9923551500141912,9.923551500141912,87,17,5.383449999499135
Tversky,0.9923551500141912,9.923551500141912,87,27,8.54090000029828
Tversky,0.9923551500141912,9.923551500141912,87,37,11.896050000359537
Tversky,0.9923551500141912,9.923551500141912,87,47,15.079550001246389
Tversky,0.9923551500141912,9.923551500141912,87,57,18.18759999878239
Tversky,0.9923551500141912,9.923551500141912,87,67,21.45485000073677
Tversky,0.9923551500141912,9.923551500141912,87,77,24.564499999542022
Tversky,0.9923551500141912,9.923551500141912,87,87,27.82670000124199
Tversky,0.9923551500141912,9.923551500141912,87,97,30.746349999390077
Tversky,0.9923551500141912,9.923551500141912,97,7,2.472950000083074
Tversky,0.9923551500141912,9.923551500141912,97,17,5.986300000586198
Tversky,0.9923551500141912,9.923551500141912,97,27,9.63305000004766
Tversky,0.9923551500141912,9.923551500141912,97,37,13.259649998872192
Tversky,0.9923551500141912,9.923551500141912,97,47,16.785200001322664
Tversky,0.9923551500141912,9.923551500141912,97,57,20.282749999751104
